Year,Number of Passenger Cars,Passenger Cars Involvement Rate per 100 Million VMT,"Passenger Cars Involvement Rate per 100,000 Registered Vehicles",Number of Light Trucks,Light Trucks Involvement Rate per 100 Million VMT1,"Light Trucks Involvement Rate per 100,000 Registered Vehicles1",Number of Large Trucks,Large Trucks Involvement Rate per 100 Million VMT2,"Large Trucks Involvement Rate per 100,000 Registered Vehicles2",Number of Motorcycles,Motorcycles Involvement Rate per 100 Million VMT3,"Motorcycles Involvement Rate per 100,000 Registered Vehicles3"
1994,30273,2.07,24.81,16353,2.3,27.49,4644,2.73,70.49,2339,22.84,62.26
1995,30940,2.09,25.11,17587,2.35,28.13,4472,2.51,66.55,2268,23.15,58.2
1996,30727,2.05,24.66,18246,2.32,27.88,4755,2.6,67.81,2176,21.94,56.2
1997,30059,1.97,24.11,18628,2.26,27.68,4917,2.57,69.42,2160,21.43,56.45
1998,29040,1.87,23.05,19363,2.25,27.75,4955,2.52,64.08,2334,22.7,60.16
1999,28027,1.79,22.05,19959,2.22,27.37,4920,2.43,63.15,2532,23.92,60.98
2000,27802,1.76,21.73,20498,2.18,26.98,4995,2.43,62.26,2975,28.42,68.45
2001,27586,1.73,21.38,20831,2.14,26.48,4823,2.31,61.38,3265,33.89,66.59
2002,27374,1.7,21,21668,2.14,26.54,4587,2.14,57.86,3365,35.23,67.24
2003,26562,1.65,20.17,22299,2.14,26.21,4721,2.17,60.86,3802,39.7,70.8
2004,25682,1.58,19.25,22486,2.05,25.04,4902,2.22,59.99,4121,40.71,71.45
2005,25169,1.56,18.6,22964,2.03,24.23,4951,2.22,58.37,4682,44.79,75.19
2006,24260,1.5,17.7,22411,1.94,22.85,4766,2.14,54.04,4963,41.19,74.31
2007,22856,1.47,16.57,21810,1.92,21.63,4633,1.52,43.09,5306,24.8,74.33
2008,20474,1.34,14.73,19179,1.73,19.01,4089,1.32,37.61,5409,25.99,69.77
2009,18413,1.22,13.42,17958,1.6,17.6,3211,1.11,29.26,4603,22.11,58.05
2010,17804,1.18,13.16,17491,1.53,17.09,3494,1.22,32.44,4651,25.12,58.07
2011,17508,1.28,13.79,16806,1.31,14.16,3633,1.36,35.37,4769,25.72,56.52
2012,18269,1.33,14.38,17350,1.35,14.62,3825,1.42,35.88,5113,23.91,60.47
2013,17957,1.3,13.93,16928,1.31,14.05,3921,1.43,37,4800,23.57,57.11
2014,17895,1.28,13.65,17160,1.31,13.9,3749,1.34,34.38,4705,23.56,55.89
2015,19810,1.39,14.87,18869,1.39,14.81,4075,1.46,36.37,5131,26.17,59.66
2016,21077,1.46,15.63,20231,1.43,15.32,4251,1.48,36.97,5467,26.74,62.99
2017,21031,1.48,15.82,19986,1.38,14.75,4657,1.56,38.08,5326,26.43,61.11
